# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pp[1] c_pp[2] c_pp[3] c_pp[4] c_pp[5] c_pp[6] c_pp[7] c_pp[8]
0 395
48 2.85469 0 0 0 0 -0.453312 -0.519197 -0.4578
49 2.91479 0 0 0 0 -0.261039 -0.500289 -0.337269
50 2.97489 0 0 0 0 -0.0376005 -0.405791 -0.318083
51 3.03499 0 0 0 0 0.0241062 -0.610389 -0.405068
52 3.09509 0 0 0 0 -0.313714 -0.64901 -0.47923
53 3.15519 0 0 0 0 -0.297215 -0.736523 -0.472038
54 3.21529 0 0 0 0 -0.0691096 -0.629998 -0.506569
55 3.27538 0 0 0 0 -0.0262521 -0.641873 -0.53741
56 3.33548 0 0 0 0 -0.582535 -1.04873 -0.610265
57 3.39558 0 0 0 0 -1.0067 -1.22368 -0.67342
58 3.45568 0 0 0 0 -0.467336 -0.434093 -0.614121
59 3.51578 0 0 0 0 -0.062859 0.421579 -0.312088
60 3.57588 0 0 0 0 -0.484318 -1.45915 -0.293998
61 3.63598 0 0 0 0 -0.761049 -1.30623 -0.333788
62 3.69608 0 0 0 0 -0.234712 -0.943276 -0.196261
63 3.75618 0 0 0 0 0.655369 0.22369 -0.0869626
64 3.81627 0 0 0 0 1.29358 0.158502 -0.0743868
65 3.87637 0 0 0 0 0.735493 -0.0238061 -0.0649564
66 3.93647 0 0 0 0 -0.576104 -1.06873 0.141986
67 3.99657 0 0 0 0 -0.0790948 -1.24018 0.283506
68 4.05667 0 0 0 0 -0.228168 -0.434966 0.417215
69 4.11677 0 0 0 0 -0.466464 1.05018 0.423521
70 4.17687 0 0 0 0 -0.648335 -0.280885 0.370058
71 4.23697 0 0 0 0 -1.26241 -0.765646 0.180306
72 4.29706 0 0 0 0 -0.80205 -0.128797 -0.0314445
73 4.35716 0 0 0 0 -0.68336 0.689369 0.0597551
74 4.41726 0 0 0 0 -1.06679 0.14857 0.0687061
75 4.47736 0 0 0 0 -0.546734 -0.592922 0.0410924
76 4.53746 0 0 0 0 -0.609713 0.220088 0.00736408
77 4.59756 0 0 0 0 -0.644671 2.39024 0.00295412
78 4.65766 0 0 0 0 -0.994847 2.17811 0.0555813
79 4.71776 0 0 0 0 -1.22141 2.57142 0.0970216
80 4.77786 0 0 0 0 -1.36375 1.27259 0.316768
81 4.83795 0 0 0 0 -0.419585 0.254617 0.889577
82 4.89805 0 0 0 0 0.285861 0.101614 1.4414
83 4.95815 0 0 0 0 2.43537 0.483659 1.68881
84 5.01825 0 0 0 0 2.97263 -0.0312023 1.71903
85 5.07835 0 0 0 0 2.02227 -0.120946 1.68549
86 5.13845 0 0 0 0 0.894077 -0.452898 1.77314
87 5.19855 0 0 0 0 0.136028 -0.463992 1.69629
88 5.25865 0 0 0 0 0.553306 -0.195047 2.21528
89 5.31874 0 0 0 0 1.11495 0.409185 2.91816
90 5.37884 0 0 0 0 0.47219 0.758602 3.05929
91 5.43894 0 0 0 0 0.315503 1.82578 2.79142
92 5.49904 0 0 0 0 2.42844 1.69753 2.77406
93 5.55914 0 0 0 0 1.60324 1.88106 2.71552
94 5.61924 0 0 0 0 -1.00564 1.39927 2.82018
95 5.67934 0 0 0 0 -0.76032 0.766156 2.35586
96 5.73944 0 0 0 0 -0.857618 1.07696 1.46387
97 5.79953 0 0 0 0 0.917704 2.25249 1.23865
98 5.85963 0 0 0 0 1.5008 1.74056 1.28644
99 5.91973 0 0 0 0 6.00156 6.96486 1.67438
100 5.97983 0 0 0 0 4.59944 4.71181 1.85719
101 6.03993 0 0 0 0 1.95047 3.54385 1.66225
102 6.10003 0 0 0 0 -0.277622 1.87668 1.07706
103 6.16013 0 0 0 0 -1.58939 0.701387 0.470526
104 6.22023 0 0 0 0 -1.00618 1.4681 0.13004
105 6.28033 0 0 0 0 -1.54924 -0.491757 0.254079
106 6.34042 0 0 0 0 -0.547537 0.424536 0.498561
107 6.40052 0 0 0 0 1.95124 2.03583 0.26651
108 6.46062 0 0 0 0 0.522874 0.200897 0.506703
109 6.52072 0 0 0 0 0.565855 -0.189425 0.55966
110 6.58082 0 0 0 0 0.459807 -0.47736 0.807755
111 6.64092 0 0 0 0 1.39431 0.566541 1.30421
112 6.70102 0 0 0 0 0.279122 2.21577 1.64801
113 6.76112 0 0 0 0 0.277179 2.21261 1.79852
114 6.82121 0 0 0 0 1.9308 9.0238 2.7192
115 6.88131 0 0 0 0 1.56179 4.06051 2.89455
116 6.94141 0 0 0 0 1.26541 1.22836 2.80412
117 7.00151 0 0 0 0 0.809365 1.57548 2.71276
118 7.06161 0 0 0 0 1.41065 4.44214 3.2479
119 7.12171 0 0 0 0 1.52117 5.30671 3.04106
120 7.18181 0 0 0 0 1.32284 5.89437 3.12143
121 7.24191 0 0 0 0 0.62102 3.48655 3.53741
122 7.302 0 0 0 0 2.16964 2.58246 3.84964
123 7.3621 0 0 0 0 0.786055 4.36119 4.18022
124 7.4222 0 0 0 0 0.000869452 2.83029 4.83863
125 7.4823 0 0 0 0 -0.303074 4.2652 5.65087
126 7.5424 0 0 0 0 0.0224764 2.62185 5.68279
127 7.6025 0 0 0 0 -0.21748 1.62464 5.40857
128 7.6626 0 0 0 0 -0.173352 4.85099 5.66737
129 7.7227 0 0 0 0 -0.154386 5.67711 5.67072
130 7.7828 0 0 0 0 -0.500599 6.39137 5.21695
131 7.84289 0 0 0 0 0.392851 6.83494 5.09033
132 7.90299 0 0 0 0 1.48263 7.82804 5.04528
133 7.96309 0 0 0 0 4.11088 5.5385 4.75993
134 8.02319 0 0 0 0 4.5345 4.74044 4.2709
135 8.08329 0 0 0 0 3.01792 3.88158 3.78132
136 8.14339 0 0 0 0 4.46173 8.80764 2.92874
137 8.20349 0 0 0 0 -0.714642 2.91249 3.4621
138 8.26359 0 0 0 0 -0.4923 -0.221537 3.68954
139 8.32368 0 0 0 0 1.53676 2.50909 3.51224
140 8.38378 0 0 0 0 2.40005 3.82922 3.56598
141 8.44388 0 0 0 0 2.84167 5.05083 3.59337
142 8.50398 0 0 0 0 4.06955 5.82598 3.87101
143 8.56408 0 0 0 0 6.60813 7.47688 3.59266
144 8.62418 0 0 0 0 1.60936 0.979337 3.25537
145 8.68428 0 0 0 0 1.77741 0.899726 3.38368
146 8.74438 0 0 0 0 2.50652 0.935391 3.41852
147 8.80447 0 0 0 0 2.19198 0.125022 3.7821
148 8.86457 0 0 0 0 2.95336 1.49926 4.35416
149 8.92467 0 0 0 0 2.91611 4.75017 4.48459
150 8.98477 0 0 0 0 2.11569 0.817984 3.97292
151 9.04487 0 0 0 0 4.38851 4.8917 2.97639
152 9.10497 0 0 0 0 6.58792 8.88379 3.8026
153 9.16507 0 0 0 0 2.08177 2.63041 4.40935
154 9.22517 0 0 0 0 4.38457 3.08183 4.38089
155 9.28527 0 0 0 0 4.74522 4.07236 4.43245
156 9.34536 0 0 0 0 3.87559 6.0325 4.93046
157 9.40546 0 0 0 0 2.6574 5.2757 5.14172
158 9.46556 0 0 0 0 7.86939 3.91733 5.56493
159 9.52566 0 0 0 0 6.0141 4.26303 6.45831
160 9.58576 0 0 0 0 4.69959 7.78222 6.69356
161 9.64586 0 0 0 0 4.20745 5.6636 6.54989
162 9.70596 0 0 0 0 6.98131 6.90052 5.99643
163 9.76606 0 0 0 0 8.93496 12.5169 5.4104
164 9.82615 0 0 0 0 4.42511 2.39315 6.09615
165 9.88625 0 0 0 0 4.41171 3.77522 6.67137
166 9.94635 0 0 0 0 4.64521 3.13515 6.3835
167 10.0065 0 0 0 0 7.21997 3.50479 7.2571
168 10.0665 0 0 0 0 7.5886 4.86834 7.89982
169 10.1266 0 0 0 0 6.7212 6.09022 7.4723
170 10.1867 0 0 0 0 5.416 5.75379 6.8962
171 10.2468 0 0 0 0 7.01417 4.84098 6.37495
172 10.3069 0 0 0 0 4.17076 5.36853 6.8902
173 10.367 0 0 0 0 4.70463 5.51765 7.28176
174 10.4271 0 0 0 0 3.32759 5.27953 6.92013
175 10.4872 0 0 0 0 2.22124 4.68358 6.60353
176 10.5473 0 0 0 0 1.00472 6.58348 6.27863
177 10.6074 0 0 0 0 1.37027 6.42342 5.44444
178 10.6675 0 0 0 0 2.69803 5.19968 4.76088
179 10.7276 0 0 0 0 9.30687 4.70359 5.12189
180 10.7877 0 0 0 0 6.88692 4.34761 5.46769
181 10.8478 0 0 0 0 7.79511 8.16893 6.41923
182 10.9079 0 0 0 0 9.03072 7.20358 6.9357
183 10.968 0 0 0 0 11.2916 8.62597 7.7777
184 11.0281 0 0 0 0 11.0868 7.64712 8.00843
185 11.0882 0 0 0 0 8.87288 6.69313 7.71348
186 11.1483 0 0 0 0 6.00684 7.06629 7.73816
187 11.2084 0 0 0 0 6.36566 9.33648 7.90613
188 11.2685 0 0 0 0 10.1512 7.75115 7.6136
189 11.3286 0 0 0 0 4.64567 4.65245 7.09982
190 11.3887 0 0 0 0 7.78443 6.80687 6.63718
191 11.4488 0 0 0 0 7.59193 5.11493 6.28848
192 11.5089 0 0 0 0 2.66503 4.95365 5.55747
193 11.569 0 0 0 0 4.64829 5.91256 5.45418
194 11.6291 0 0 0 0 5.32241 7.53157 6.34264
195 11.6892 0 0 0 0 6.1107 7.54277 6.45903
196 11.7493 0 0 0 0 3.81725 7.34576 6.05242
197 11.8094 0 0 0 0 3.35976 6.18061 6.25539
198 11.8695 0 0 0 0 9.60726 4.60073 6.0817
199 11.9296 0 0 0 0 9.98652 2.75699 5.76096
200 11.9897 0 0 0 0 10.1504 4.30457 5.90107
201 12.0498 0 0 0 0 3.92525 4.86239 6.50121
202 12.1099 0 0 0 0 2.99592 5.14002 6.73948
203 12.17 0 0 0 0 4.38362 4.7771 6.81047
204 12.2301 0 0 0 0 11.8063 2.64944 6.2746
205 12.2902 0 0 0 0 3.87848 2.75513 5.45833
206 12.3503 0 0 0 0 4.33793 5.77037 5.11193
207 12.4104 0 0 0 0 4.32526 3.95784 5.03622
208 12.4705 0 0 0 0 5.38951 3.75303 4.15517
209 12.5306 0 0 0 0 0.185785 1.51883 3.72767
210 12.5907 0 0 0 0 1.24922 2.62017 3.62091
211 12.6508 0 0 0 0 3.69292 2.70202 3.93818
212 12.7109 0 0 0 0 6.36026 2.49449 3.94477
213 12.771 0 0 0 0 3.12253 3.06372 4.20445
214 12.8311 0 0 0 0 10.7008 7.73179 4.46941
215 12.8912 0 0 0 0 17.9476 10.0186 4.67587
216 12.9513 0 0 0 0 8.70193 8.79058 4.56739
217 13.0114 0 0 0 0 5.19282 6.76336 4.65252
218 13.0715 0 0 0 0 3.28949 5.28872 4.62042
219 13.1316 0 0 0 0 3.99549 6.06971 4.79881
220 13.1917 0 0 0 0 5.79062 10.7862 4.76895
221 13.2518 0 0 0 0 6.35374 10.1655 4.82802
222 13.3119 0 0 0 0 8.19543 9.85002 4.91101
223 13.372 0 0 0 0 5.92698 7.59967 4.77842
224 13.4321 0 0 0 0 4.59023 5.02566 4.39987
225 13.4922 0 0 0 0 7.11366 4.49933 4.2785
226 13.5523 0 0 0 0 5.68126 1.67908 4.12061
227 13.6124 0 0 0 0 2.01941 1.97731 4.1656
228 13.6725 0 0 0 0 2.05517 4.84908 4.43864
229 13.7326 0 0 0 0 2.25165 9.12385 4.49787
230 13.7927 0 0 0 0 2.5592 3.52959 4.35725
231 13.8528 0 0 0 0 7.58508 4.46714 4.58756
232 13.9129 0 0 0 0 4.83115 7.42957 4.87839
233 13.973 0 0 0 0 6.46036 7.19222 4.52216
234 14.0331 0 0 0 0 8.95498 10.5957 4.49817
235 14.0932 0 0 0 0 6.56806 1.59296 4.18037
236 14.1533 0 0 0 0 10.2026 3.04731 4.46775
237 14.2134 0 0 0 0 9.4974 4.02636 4.38271
238 14.2735 0 0 0 0 7.15686 4.8236 4.25194
239 14.3336 0 0 0 0 3.48983 3.05603 4.23805
240 14.3937 0 0 0 0 4.00855 4.72135 4.4972
241 14.4538 0 0 0 0 1.2857 4.63251 4.55983
242 14.5139 0 0 0 0 1.79275 3.13692 4.57148
243 14.574 0 0 0 0 3.77641 1.88716 5.26857
244 14.6341 0 0 0 0 5.02991 3.16983 5.55767
245 14.6942 0 0 0 0 4.90856 5.23709 5.58588
246 14.7543 0 0 0 0 5.40169 5.26014 5.97793
247 14.8144 0 0 0 0 4.08607 4.07824 5.76158
248 14.8745 0 0 0 0 3.34246 5.11745 5.8521
249 14.9346 0 0 0 0 5.54835 9.60655 5.91605
250 14.9947 0 0 0 0 3.62754 5.44898 5.79912
251 15.0548 0 0 0 0 7.80595 5.36983 6.1389
252 15.1148 0 0 0 0 7.2369 8.94508 6.28497
253 15.1749 0 0 0 0 8.11853 6.64172 6.4979
254 15.235 0 0 0 0 6.51335 10.1926 6.27402
255 15.2951 0 0 0 0 5.01031 5.3752 6.582
256 15.3552 0 0 0 0 4.74823 3.54818 6.51304
257 15.4153 0 0 0 0 4.62325 3.06894 5.91043
258 15.4754 0 0 0 0 2.56075 3.9252 5.25791
259 15.5355 0 0 0 0 1.26318 2.95962 4.89185
260 15.5956 0 0 0 0 1.78023 2.32036 4.34809
261 15.6557 0 0 0 0 1.33546 2.2562 3.63979
262 15.7158 0 0 0 0 2.82302 2.40471 3.19382
263 15.7759 0 0 0 0 4.49896 4.28879 3.02878
264 15.836 0 0 0 0 5.78462 5.94079 2.90472
265 15.8961 0 0 0 0 5.83789 5.68616 2.59201
266 15.9562 0 0 0 0 5.13119 3.75406 2.60153
267 16.0163 0 0 0 0 6.18894 6.18664 1.87856
268 16.0764 0 0 0 0 1.59267 2.74923 0.90642
269 16.1365 0 0 0 0 1.37723 5.22189 0.871866
270 16.1966 0 0 0 0 1.20074 2.5306 0.397822
271 16.2567 0 0 0 0 1.35563 1.60784 0.64209
272 16.3168 0 0 0 0 2.66808 3.08102 0.954365
273 16.3769 0 0 0 0 2.71699 3.38376 0.992782
274 16.437 0 0 0 0 1.53396 1.19684 0.981566
275 16.4971 0 0 0 0 1.63474 -0.0411973 1.04029
276 16.5572 0 0 0 0 2.21131 0.0249833 1.20182
277 16.6173 0 0 0 0 2.1296 -0.459562 1.12479
278 16.6774 0 0 0 0 3.18774 -0.406889 1.28873
279 16.7375 0 0 0 0 8.122 1.2195 1.57971
280 16.7976 0 0 0 0 10.0511 17.9309 1.69825
281 16.8577 0 0 0 0 2.07865 7.95426 1.50251
282 16.9178 0 0 0 0 0.921047 4.72013 1.65154
283 16.9779 0 0 0 0 -0.365236 10.9911 2.0436
284 17.038 0 0 0 0 0.295848 4.6604 2.66362
285 17.0981 0 0 0 0 -0.189956 3.07653 2.47507
286 17.1582 0 0 0 0 0.292125 3.44953 2.6773
287 17.2183 0 0 0 0 4.75977 3.07028 2.67297
288 17.2784 0 0 0 0 4.73201 6.76296 2.54352
289 17.3385 0 0 0 0 2.16449 2.21575 2.70827
290 17.3986 0 0 0 0 0.136644 1.19169 2.6066
291 17.4587 0 0 0 0 -0.372718 0.730681 2.58009
292 17.5188 0 0 0 0 -0.779288 0.554529 2.86108
293 17.5789 0 0 0 0 0.23042 2.32131 3.19356
294 17.639 0 0 0 0 -0.0958835 0.342633 2.68341
295 17.6991 0 0 0 0 -0.148184 -1.38188 1.54002
296 17.7592 0 0 0 0 2.51989 0.101119 1.55904
297 17.8193 0 0 0 0 0.30409 0.537785 2.18818
298 17.8794 0 0 0 0 -0.0322064 2.03182 2.41755
299 17.9395 0 0 0 0 8.72709 3.46627 2.07518
300 17.9996 0 0 0 0 1.9521 2.68922 1.89077
301 18.0597 0 0 0 0 0.0280897 0.950608 1.80975
302 18.1198 0 0 0 0 0.0635115 0.913509 1.98653
303 18.1799 0 0 0 0 0.377493 1.13372 1.67081
304 18.24 0 0 0 0 0.6982 1.67722 1.56515
305 18.3001 0 0 0 0 1.43835 2.8221 1.8735
306 18.3602 0 0 0 0 6.01478 5.27432 1.74691
307 18.4203 0 0 0 0 1.63177 2.93132 1.55598
308 18.4804 0 0 0 0 1.44756 1.67534 1.59772
309 18.5405 0 0 0 0 1.0979 1.82671 1.68038
310 18.6006 0 0 0 0 2.74377 0.641329 1.53301
311 18.6607 0 0 0 0 3.19842 0.248499 0.921365
312 18.7208 0 0 0 0 1.07436 0.792886 0.972232
313 18.7809 0 0 0 0 0.365137 0.214011 0.697946
314 18.841 0 0 0 0 7.05593 0.134561 0.824683
315 18.9011 0 0 0 0 1.463 0.102982 0.823763
316 18.9612 0 0 0 0 1.36765 2.35014 0.72213
317 19.0213 0 0 0 0 0.912757 2.60546 0.608884
318 19.0814 0 0 0 0 0.245709 0.981465 0.463085
319 19.1415 0 0 0 0 -0.134347 1.19575 0.633014
320 19.2016 0 0 0 0 -0.286588 2.36552 0.825992
321 19.2617 0 0 0 0 -0.504114 2.29188 0.760678
322 19.3218 0 0 0 0 -0.986749 0.0770621 0.682451
323 19.3819 0 0 0 0 -0.604254 -0.329647 0.598482
324 19.442 0 0 0 0 0.344633 -0.239971 0.606215
325 19.5021 0 0 0 0 -0.425771 -0.519839 0.566749
326 19.5622 0 0 0 0 -0.337299 -0.427055 0.368598
327 19.6223 0 0 0 0 0.392146 -0.150631 0.72582
328 19.6824 0 0 0 0 -0.513316 0.979168 0.831362
329 19.7425 0 0 0 0 -1.10753 0.798325 0.710271
330 19.8026 0 0 0 0 -1.07958 -0.474786 0.830624
331 19.8627 0 0 0 0 -0.857494 -0.439782 0.838686
332 19.9228 0 0 0 0 3.08211 0.235816 0.558181
333 19.9829 0 0 0 0 -0.478057 -0.485839 -0.0671826
334 20.043 0 0 0 0 -0.211374 -0.233196 -0.135184
335 20.1031 0 0 0 0 -0.334914 -0.135609 -0.201121
336 20.1631 0 0 0 0 -0.619651 -0.145147 -0.271123
337 20.2232 0 0 0 0 -1.03401 -0.252509 -0.39875
338 20.2833 0 0 0 0 -0.711153 -0.369639 -0.34756
339 20.3434 0 0 0 0 -0.686031 -0.52731 -0.333609
340 20.4035 0 0 0 0 -1.10085 -1.19236 -0.314197
341 20.4636 0 0 0 0 -0.916783 -0.669547 -0.25738
342 20.5237 0 0 0 0 -0.622389 -0.530111 -0.376984
343 20.5838 0 0 0 0 -0.364143 -0.336219 -0.384259
344 20.6439 0 0 0 0 -0.427589 -0.540827 -0.50741
345 20.704 0 0 0 0 -0.352575 -0.516944 -0.247729
346 20.7641 0 0 0 0 -0.125562 -0.243029 -0.0664103
347 20.8242 0 0 0 0 -0.0830539 -0.216768 -0.030045
348 20.8843 0 0 0 0 -0.254175 -0.121951 0.0214807
349 20.9444 0 0 0 0 -0.296775 -0.102047 0.0259003
350 21.0045 0 0 0 0 -0.427884 -0.181495 0.0442057
351 21.0646 0 0 0 0 -0.370853 -0.237236 -0.0300148
352 21.1247 0 0 0 0 -0.525926 -0.18212 -0.0654101
353 21.1848 0 0 0 0 -0.347089 0.000857761 0.0212623
354 21.2449 0 0 0 0 -0.181065 0.23272 0.0778579
355 21.305 0 0 0 0 -0.217334 0.0502515 -0.00958347
356 21.3651 0 0 0 0 -0.235332 0.0392001 -0.00357659
357 21.4252 0 0 0 0 -0.401068 -0.284759 0.01549
358 21.4853 0 0 0 0 -0.412064 -0.37362 0.000417763
359 21.5454 0 0 0 0 -0.321033 -0.308013 -0.179879
360 21.6055 0 0 0 0 -0.273656 -0.263803 -0.228817
361 21.6656 0 0 0 0 -0.316225 -0.250322 -0.233528
362 21.7257 0 0 0 0 -0.433222 -0.327444 -0.220717
363 21.7858 0 0 0 0 -0.235304 -0.228219 -0.181692
364 21.8459 0 0 0 0 -0.126686 -0.17135 -0.130551
365 21.906 0 0 0 0 -0.157082 -0.160198 -0.110752
366 21.9661 0 0 0 0 -0.178535 -0.0851066 -0.0311952
367 22.0262 0 0 0 0 -0.138161 0.00778667 0.0213251
368 22.0863 0 0 0 0 -0.138161 0.00778667 0.0213251
369 22.1464 0 0 0 0 -0.0839732 0.0449996 0.0376549
370 22.2065 0 0 0 0 -0.0736371 0.0542684 0.0472747
371 22.2666 0 0 0 0 -0.0745312 0.0531221 0.0455902
372 22.3267 0 0 0 0 -0.0738105 0.0566002 0.0403442
373 22.3868 0 0 0 0 -0.0620119 0.065392 0.0516278
374 22.4469 0 0 0 0 -0.0562284 0.0692655 0.0572769
375 22.507 0 0 0 0 -0.0562284 0.0692655 0.0572769
376 22.5671 0 0 0 0 -0.0562284 0.0692655 0.0572769
377 22.6272 0 0 0 0 -0.0530872 0.0310146 0.0238684
378 22.6873 0 0 0 0 -0.0449546 -0.0151689 -0.00796503
379 22.7474 0 0 0 0 -0.0441251 -0.0141083 -0.00537402
380 22.8075 0 0 0 0 -0.0315836 -0.0210279 -0.00167223
381 22.8676 0 0 0 0 -0.0227549 -0.0380992 -0.0294745
382 22.9277 0 0 0 0 -0.0281404 -0.0663947 -0.0490103
383 22.9878 0 0 0 0 -0.0281404 -0.0663947 -0.0490103
384 23.0479 0 0 0 0 -0.0337476 -0.0824692 -0.049938
385 23.108 0 0 0 0 -0.043499 -0.110424 -0.0515513
386 23.1681 0 0 0 0 -0.1073 -0.144743 -0.0517106
387 23.2282 0 0 0 0 -0.120621 -0.146211 -0.0551489
388 23.2883 0 0 0 0 -0.0235022 -0.0561625 -0.0547917
389 23.3484 0 0 0 0 -0.00703496 -0.0145649 -0.0526603
390 23.4085 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
391 23.4686 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
392 23.5287 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
393 23.5888 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
394 23.6489 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
395 23.709 0 0 0 0 -0.00583226 -0.0114359 -0.052094
2000 395
1 0.0300494 0 0 0 0 -0.0100286 -0.0145277 -0.0320403
2 0.0901482 0 0 0 0 -0.0100206 -0.0145266 -0.0319639
3 0.150247 0 0 0 0 -0.0100206 -0.0145266 -0.0319639
4 0.210346 0 0 0 0 -0.0100206 -0.0145266 -0.0319639
5 0.270445 0 0 0 0 0.0153885 -0.0130874 0.0385577
6 0.330543 0 0 0 0 0.0166316 -0.0153624 0.0379647
7 0.390642 0 0 0 0 0.0166316 -0.0153624 0.0379647
8 0.450741 0 0 0 0 0.0169445 -0.0152416 0.0377086
9 0.51084 0 0 0 0 0.0148721 -0.0141585 0.0323738
10 0.570939 0 0 0 0 0.0048969 -0.0153052 0.0276056
11 0.631037 0 0 0 0 0.0048969 -0.0153052 0.0276056
12 0.691136 0 0 0 0 0.00470929 -0.0260903 0.0308104
13 0.751235 0 0 0 0 0.00465662 -0.0291179 0.03171
14 0.811334 0 0 0 0 0.000719999 -0.0303174 0.0342894
15 0.871433 0 0 0 0 1.42746e-05 -0.0407783 0.0337653
16 0.931531 0 0 0 0 1.42746e-05 -0.0407783 0.0337653
17 0.99163 0 0 0 0 0.00172854 -0.0407144 0.0334548
18 1.05173 0 0 0 0 -0.00337397 -0.0394661 0.023823
19 1.11183 0 0 0 0 -0.0316596 -0.0272883 -0.0407612
20 1.17193 0 0 0 0 -0.0389258 -0.0288353 -0.0503442
21 1.23203 0 0 0 0 -0.0389258 -0.0288353 -0.0503442
22 1.29212 0 0 0 0 -0.021219 -0.0275046 -0.0326244
23 1.35222 0 0 0 0 -0.0152002 -0.0415156 -0.0280672
24 1.41232 0 0 0 0 -0.0150173 -0.0431286 -0.0293891
25 1.47242 0 0 0 0 -0.00908039 -0.0408068 -0.0337575
26 1.53252 0 0 0 0 -0.00913187 -0.0485403 -0.0338513
27 1.59262 0 0 0 0 -0.0100878 -0.0502537 -0.0336374
28 1.65272 0 0 0 0 -0.0100688 -0.051274 -0.0303094
29 1.71282 0 0 0 0 -0.0979103 -0.0953611 -0.0269146
30 1.77291 0 0 0 0 -0.0658125 -0.0649919 -0.0391216
31 1.83301 0 0 0 0 -0.105627 0.0227641 -0.0515943
32 1.89311 0 0 0 0 -0.124782 0.035388 -0.0650058
33 1.95321 0 0 0 0 0.125271 0.244441 -0.0356982
34 2.01331 0 0 0 0 0.17798 0.29309 -0.0159736
35 2.07341 0 0 0 0 -0.0150804 0.113687 -0.0203688
36 2.13351 0 0 0 0 -0.116786 0.00884589 -0.0363053
37 2.19361 0 0 0 0 -0.135806 -0.0545372 -0.0546117
38 2.25371 0 0 0 0 -0.0952065 -0.174839 -0.0847598
39 2.3138 0 0 0 0 -0.0356653 0.857151 -0.102024
40 2.3739 0 0 0 0 -0.037428 2.64756 -0.104402
