# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 396 2000
  83 4.95 8 0.946396
  84 5.01 6 0.709797
  85 5.07 7 0.828096
  86 5.13 4 0.473198
  87 5.19 4 0.473198
  88 5.25 8 0.946396
  89 5.31 4 0.473198
  90 5.37 3 0.354898
  91 5.43 5 0.591497
  92 5.49 10 1.18299
  93 5.55 10 1.18299
  94 5.61 8 0.946396
  95 5.67 4 0.473198
  96 5.73 6 0.709797
  97 5.79 5 0.591497
  98 5.85 1 0.118299
  99 5.91 6 0.709797
  100 5.97 7 0.828096
  101 6.03 8 0.946396
  102 6.09 5 0.591497
  103 6.15 6 0.709797
  104 6.21 6 0.709797
  105 6.27 5 0.591497
  106 6.33 8 0.946396
  107 6.39 6 0.709797
  108 6.45 8 0.946396
  109 6.51 3 0.354898
  110 6.57 5 0.591497
  111 6.63 3 0.354898
  112 6.69 7 0.828096
  113 6.75 7 0.828096
  114 6.81 10 1.18299
  115 6.87 8 0.946396
  116 6.93 8 0.946396
  117 6.99 4 0.473198
  118 7.05 2 0.236599
  119 7.11 6 0.709797
  120 7.17 9 1.0647
  121 7.23 8 0.946396
  122 7.29 11 1.30129
  123 7.35 7 0.828096
  124 7.41 6 0.709797
  125 7.47 6 0.709797
  126 7.53 4 0.473198
  127 7.59 6 0.709797
  128 7.65 9 1.0647
  129 7.71 2 0.236599
  130 7.77 11 1.30129
  131 7.83 5 0.591497
  132 7.89 6 0.709797
  133 7.95 9 1.0647
  134 8.01 6 0.709797
  135 8.07 6 0.709797
  136 8.13 7 0.828096
  137 8.19 8 0.946396
  138 8.25 9 1.0647
  139 8.31 11 1.30129
  140 8.37 6 0.709797
  141 8.43 7 0.828096
  142 8.49 6 0.709797
  143 8.55 5 0.591497
  144 8.61 8 0.946396
  145 8.67 6 0.709797
  146 8.73 6 0.709797
  147 8.79 5 0.591497
  148 8.85 8 0.946396
  149 8.91 5 0.591497
  150 8.97 6 0.709797
  151 9.03 11 1.30129
  152 9.09 11 1.30129
  153 9.15 8 0.946396
  154 9.21 9 1.0647
  155 9.27 6 0.709797
  156 9.33 9 1.0647
  157 9.39 4 0.473198
  158 9.45 7 0.828096
  159 9.51 5 0.591497
  160 9.57 11 1.30129
  161 9.63 7 0.828096
  162 9.69 7 0.828096
  163 9.75 6 0.709797
  164 9.81 8 0.946396
  165 9.87 8 0.946396
  166 9.93 8 0.946396
  167 9.99 13 1.53789
  168 10.05 5 0.591497
  169 10.11 9 1.0647
  170 10.17 3 0.354898
  171 10.23 8 0.946396
  172 10.29 12 1.41959
  173 10.35 5 0.591497
  174 10.41 7 0.828096
  175 10.47 3 0.354898
  176 10.53 10 1.18299
  177 10.59 8 0.946396
  178 10.65 5 0.591497
  179 10.71 7 0.828096
  180 10.77 7 0.828096
  181 10.83 9 1.0647
  182 10.89 12 1.41959
  183 10.95 8 0.946396
  184 11.01 7 0.828096
  185 11.07 9 1.0647
  186 11.13 6 0.709797
  187 11.19 6 0.709797
  188 11.25 7 0.828096
  189 11.31 6 0.709797
  190 11.37 6 0.709797
  191 11.43 11 1.30129
  192 11.49 11 1.30129
  193 11.55 8 0.946396
  194 11.61 6 0.709797
  195 11.67 7 0.828096
  196 11.73 7 0.828096
  197 11.79 2 0.236599
  198 11.85 10 1.18299
  199 11.91 12 1.41959
  200 11.97 8 0.946396
  201 12.03 7 0.828096
  202 12.09 8 0.946396
  203 12.15 3 0.354898
  204 12.21 11 1.30129
  205 12.27 3 0.354898
  206 12.33 14 1.65619
  207 12.39 4 0.473198
  208 12.45 12 1.41959
  209 12.51 5 0.591497
  210 12.57 5 0.591497
  211 12.63 6 0.709797
  212 12.69 8 0.946396
  213 12.75 7 0.828096
  214 12.81 7 0.828096
  215 12.87 7 0.828096
  216 12.93 12 1.41959
  217 12.99 5 0.591497
  218 13.05 5 0.591497
  219 13.11 8 0.946396
  220 13.17 8 0.946396
  221 13.23 9 1.0647
  222 13.29 11 1.30129
  223 13.35 12 1.41959
  224 13.41 5 0.591497
  225 13.47 7 0.828096
  226 13.53 5 0.591497
  227 13.59 5 0.591497
  228 13.65 5 0.591497
  229 13.71 5 0.591497
  230 13.77 7 0.828096
  231 13.83 11 1.30129
  232 13.89 6 0.709797
  233 13.95 15 1.77449
  234 14.01 8 0.946396
  235 14.07 8 0.946396
  236 14.13 4 0.473198
  237 14.19 8 0.946396
  238 14.25 9 1.0647
  239 14.31 5 0.591497
  240 14.37 9 1.0647
  241 14.43 8 0.946396
  242 14.49 4 0.473198
  243 14.55 7 0.828096
  244 14.61 8 0.946396
  245 14.67 7 0.828096
  246 14.73 5 0.591497
  247 14.79 8 0.946396
  248 14.85 6 0.709797
  249 14.91 6 0.709797
  250 14.97 10 1.18299
  251 15.03 8 0.946396
  252 15.09 10 1.18299
  253 15.15 7 0.828096
  254 15.21 12 1.41959
  255 15.27 8 0.946396
  256 15.33 11 1.30129
  257 15.39 3 0.354898
  258 15.45 9 1.0647
  259 15.51 6 0.709797
  260 15.57 2 0.236599
  261 15.63 7 0.828096
  262 15.69 3 0.354898
  263 15.75 9 1.0647
  264 15.81 8 0.946396
  265 15.87 7 0.828096
  266 15.93 4 0.473198
  267 15.99 8 0.946396
  268 16.05 15 1.77449
  269 16.11 4 0.473198
  270 16.17 10 1.18299
  271 16.23 8 0.946396
  272 16.29 4 0.473198
  273 16.35 6 0.709797
  274 16.41 7 0.828096
  275 16.47 2 0.236599
  276 16.53 5 0.591497
  277 16.59 3 0.354898
  278 16.65 3 0.354898
  279 16.71 9 1.0647
  280 16.77 8 0.946396
  281 16.83 12 1.41959
  282 16.89 4 0.473198
  283 16.95 13 1.53789
  284 17.01 6 0.709797
  285 17.07 11 1.30129
  286 17.13 1 0.118299
  287 17.19 7 0.828096
  288 17.25 8 0.946396
  289 17.31 9 1.0647
  290 17.37 5 0.591497
  291 17.43 2 0.236599
  292 17.49 5 0.591497
  293 17.55 6 0.709797
  294 17.61 7 0.828096
  295 17.67 8 0.946396
  296 17.73 5 0.591497
  297 17.79 9 1.0647
  298 17.85 8 0.946396
  299 17.91 8 0.946396
  300 17.97 11 1.30129
  301 18.03 3 0.354898
  302 18.09 4 0.473198
  303 18.15 6 0.709797
  304 18.21 3 0.354898
  305 18.27 6 0.709797
  306 18.33 9 1.0647
  307 18.39 6 0.709797
  308 18.45 4 0.473198
  309 18.51 6 0.709797
  310 18.57 7 0.828096
  311 18.63 4 0.473198
  312 18.69 9 1.0647
  313 18.75 4 0.473198
  314 18.81 10 1.18299
  315 18.87 5 0.591497
  316 18.93 5 0.591497
  317 18.99 6 0.709797
  318 19.05 4 0.473198
  319 19.11 2 0.236599
  320 19.17 6 0.709797
  321 19.23 5 0.591497
  322 19.29 5 0.591497
  323 19.35 7 0.828096
  324 19.41 5 0.591497
  325 19.47 4 0.473198
  326 19.53 5 0.591497
  327 19.59 4 0.473198
  328 19.65 8 0.946396
  329 19.71 7 0.828096
  330 19.77 8 0.946396
  331 19.83 1 0.118299
  332 19.89 5 0.591497
  333 19.95 4 0.473198
  334 20.01 4 0.473198
  335 20.07 0 0
  336 20.13 2 0.236599
  337 20.19 2 0.236599
  338 20.25 3 0.354898
  339 20.31 3 0.354898
  340 20.37 7 0.828096
  341 20.43 2 0.236599
  342 20.49 4 0.473198
  343 20.55 3 0.354898
  344 20.61 4 0.473198
  345 20.67 7 0.828096
  346 20.73 3 0.354898
  347 20.79 1 0.118299
  348 20.85 5 0.591497
  349 20.91 0 0
  350 20.97 2 0.236599
  351 21.03 1 0.118299
  352 21.09 2 0.236599
  353 21.15 2 0.236599
  354 21.21 2 0.236599
  355 21.27 2 0.236599
  356 21.33 0 0
  357 21.39 2 0.236599
  358 21.45 1 0.118299
  359 21.51 4 0.473198
  360 21.57 1 0.118299
  361 21.63 2 0.236599
  362 21.69 3 0.354898
  363 21.75 2 0.236599
  364 21.81 1 0.118299
  365 21.87 2 0.236599
  366 21.93 3 0.354898
  367 21.99 1 0.118299
  368 22.05 0 0
  369 22.11 1 0.118299
  370 22.17 1 0.118299
  371 22.23 0 0
  372 22.29 2 0.236599
  373 22.35 1 0.118299
  374 22.41 0 0
  375 22.47 0 0
  376 22.53 0 0
  377 22.59 0 0
  378 22.65 3 0.354898
  379 22.71 0 0
  380 22.77 0 0
  381 22.83 2 0.236599
  382 22.89 1 0.118299
  383 22.95 0 0
  384 23.01 0 0
  385 23.07 1 0.118299
  386 23.13 2 0.236599
  387 23.19 0 0
  388 23.25 1 0.118299
  389 23.31 1 0.118299
  390 23.37 0 0
  391 23.43 0 0
  392 23.49 0 0
  393 23.55 0 0
  394 23.61 0 0
  395 23.67 0 0
  396 23.73 1 0.118299
