# Time-averaged data for fix fA
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
162 16.15 0.8 0.423561 0.542354 0.882195 -1.09489 -1.57133 -0.839452
163 16.25 1.1 0.515528 0.667817 1.14207 -0.956189 -1.27841 -1.23634
164 16.35 0.6 0.0696125 0.642367 0.28935 -0.982265 -0.387159 -1.1935
165 16.45 0.9 0.377363 0.978494 0.359869 -0.973247 0.521899 -1.03139
166 16.55 0.8 0.225349 0.520227 0.538478 -0.270069 -1.69207 -0.648214
167 16.65 0.9 0.483473 0.850735 0.573023 0.0532202 -2.0328 -0.703946
168 16.75 0.6 0.335177 0.939633 0.630387 -0.0833586 -1.58088 -0.416405
169 16.85 0.4 0.279622 0.144723 0.42395 -0.568366 -1.59245 -0.650674
170 16.95 0.4 0.667625 0.205875 0.449937 0.770212 -0.15429 -0.654367
171 17.05 1 0.459967 0.354183 0.899645 3.34631 0.519643 -0.936741
172 17.15 1 0.495241 0.668971 0.465736 0.367407 0.378817 -0.882137
173 17.25 1 0.666025 1.09384 0.614834 0.715174 -0.114763 -0.519502
174 17.35 1.5 1.34652 1.71346 1.20202 -0.144666 0.232257 -1.16947
175 17.45 0.3 0.441011 0.231643 0.699756 -2.08259 -2.51612 -1.41362
176 17.55 0.5 0.335435 0.174124 0.733388 -0.952428 0.746392 -1.36482
177 17.65 0.4 0.0776451 0.139382 0.310832 1.16154 -1.40668 -1.31334
178 17.75 0.9 0.619686 0.967737 0.869436 1.639 -2.03196 -1.22172
179 17.85 0.7 0.391385 0.490359 0.718367 -0.660578 -2.3963 -0.890884
180 17.95 0.8 0.419473 0.73682 1.10618 -2.3504 -1.9757 -1.00757
181 18.05 1 0.887901 1.41418 0.832752 -3.14024 -0.178269 -1.01342
182 18.15 0.6 0.438876 0.510616 0.363271 0.129538 -1.06912 -0.794467
183 18.25 0.7 0.778639 0.353225 0.386385 -2.80127 -1.10279 -0.951298
184 18.35 1.1 0.835589 0.373777 0.532233 -1.05966 0.921537 -0.421102
185 18.45 0.6 0.286741 0.440121 0.803459 -1.72267 0.0655903 -0.101969
186 18.55 0.8 0.328205 0.920168 0.768441 4.00683 0.996875 -0.0893497
187 18.65 0.7 0.518894 0.81292 0.550195 -1.21872 0.503827 -0.110107
188 18.75 0.5 0.67329 0.474437 0.289708 -1.08211 -0.627959 -0.322074
189 18.85 1.1 0.625096 0.37607 0.491188 -0.910262 0.813758 -1.19009
190 18.95 0.2 0.0282691 0.116273 0.135034 -1.87205 -0.947845 -1.39735
191 19.05 1.6 1.67317 1.74839 0.891389 -2.02106 -1.34622 -1.72732
192 19.15 0.5 0.133417 0.341675 0.50647 -2.13172 -1.718 -1.40027
193 19.25 0.9 0.728404 0.535767 1.08173 0.200071 2.19094 -1.25063
194 19.35 0.6 0.38268 0.150056 0.672002 -0.727599 0.219036 -1.47612
195 19.45 0.9 1.38085 0.833997 0.124694 0.594688 1.81634 -1.17007
196 19.55 0.5 0.274766 0.144467 0.158001 -0.504038 -0.0889045 -1.05888
197 19.65 1 0.664206 0.971724 0.674403 -1.60268 -1.79339 -0.969547
198 19.75 0.6 0.572092 0.368207 0.829194 -1.34675 -1.17315 -0.449708
199 19.85 0.9 2.06605 0.389755 1.91715 -1.18396 -1.85995 -0.667385
200 19.95 0.7 0.642629 0.573197 0.991786 -0.466917 1.10553 -0.465513
201 20.05 0.7 0.235578 0.371654 0.365332 -1.7953 1.06657 -0.984888
202 20.15 1 1.02268 0.809518 0.491061 -3.82337 -1.91896 -1.14775
203 20.25 1 0.621951 0.916558 0.664631 -2.14391 -2.51188 -1.009
204 20.35 0.6 0.154085 0.1061 0.471153 -1.48891 -2.29405 -0.602735
205 20.45 0.7 0.904615 0.846066 0.487462 -0.744487 -0.139041 -0.970332
206 20.55 0.5 0.584075 0.199263 0.254734 -0.85377 -0.605038 -0.895561
207 20.65 0.7 1.12159 0.771122 0.267588 -0.831555 1.54095 -0.596017
208 20.75 0.5 0.20018 0.314535 0.729078 -1.72404 0.843984 -0.372057
209 20.85 1 0.286897 0.917906 0.558226 -1.42345 0.884571 -0.658368
210 20.95 1.1 1.49461 0.862262 1.2223 -0.627149 4.44335 -0.961098
211 21.05 0.7 0.467268 0.519899 0.116963 -2.14491 -1.74824 -1.2267
212 21.15 0.9 0.758456 0.443043 0.24356 -2.30173 -2.75642 -1.17101
213 21.25 0.6 0.113721 0.208087 0.920811 -2.23372 -2.6031 -1.42188
214 21.35 0.4 0.215749 0.25337 0.25562 -2.16845 -1.68351 -1.42795
215 21.45 0.3 0.0817471 0.165557 0.104189 -2.12733 -1.48054 -1.33237
216 21.55 1 0.405392 0.566388 0.851844 -2.66306 -2.25809 -1.39734
217 21.65 1 0.707138 0.730459 1.16855 -2.73068 -0.23519 -1.41625
218 21.75 0.9 1.15814 0.840311 0.804372 -1.29666 0.229789 -1.19495
219 21.85 0.5 0.711656 0.125474 0.505334 -1.12534 3.60392 -0.897991
220 21.95 1.3 0.495745 0.972919 1.05495 -2.31223 -1.54178 -1.45338
221 22.05 0.6 0.264147 0.670799 0.943139 -2.53983 -1.44808 -0.680798
222 22.15 0.4 0.294544 0.452418 0.211713 -1.39291 -1.10883 -1.11929
223 22.25 0.6 0.724779 0.365521 0.579918 -0.808406 -2.21751 -1.06281
224 22.35 0.7 0.44274 0.62909 1.13826 -1.91236 -2.13719 -0.800903
225 22.45 0.7 0.584583 0.658934 0.899662 -1.68729 -2.07497 -0.798721
226 22.55 0.9 0.72823 0.278718 0.525157 0.662625 4.73976 -0.743148
227 22.65 0.4 0.622441 0.745321 0.479599 0.668778 -0.746728 -0.913932
228 22.75 1.2 0.944157 0.582756 0.661804 -0.0112104 -0.731328 -1.12574
229 22.85 0.8 1.05851 0.463545 1.01044 0.150965 0.337299 -1.25879
230 22.95 1 1.39687 0.709707 1.4438 -1.13485 1.69196 -1.45388
231 23.05 0.4 0.0296087 0.711219 0.436317 -2.2367 -1.53746 -1.64027
232 23.15 0.8 0.501862 0.422014 0.740442 -2.38664 -2.02843 -1.71571
233 23.25 0.5 0.145418 0.241067 0.174277 -0.875812 -2.24295 -1.64929
234 23.35 0.8 0.408726 0.691977 0.312247 -0.201895 -1.97841 -1.32859
235 23.45 0.7 1.0131 0.403499 0.541427 -0.44143 -1.59929 -1.32517
236 23.55 0.4 0.0714744 0.0688414 0.427967 -0.98604 -1.6192 -1.35105
237 23.65 0.6 1.32628 1.14937 0.58848 -1.28266 -1.98716 -1.48101
238 23.75 0.9 0.734413 0.45923 1.63808 1.38951 -1.57728 -1.46708
239 23.85 0.6 0.328566 0.184184 1.04472 -1.78164 -1.99393 -1.28302
240 23.95 1 0.681184 0.412482 0.643965 -2.43297 -2.30458 -0.89673
241 24.05 0.6 1.45056 0.854654 0.435722 -1.98957 -1.89673 -0.729663
242 24.15 0.6 0.7558 0.30125 0.917706 -1.56074 -1.15591 -0.806835
243 24.25 0.7 0.837485 0.252715 1.02792 -1.95705 -1.37174 -0.95107
244 24.35 0.8 0.241321 0.364527 0.36682 -0.215962 -1.14915 -0.497954
245 24.45 0.4 0.164064 0.618708 0.206741 0.289822 -0.758429 -0.0515869
246 24.55 0.6 0.373461 0.537043 0.355978 -0.740494 -1.36377 -0.189341
247 24.65 1.1 0.371717 1.28697 0.724854 -2.16967 -2.92169 -0.305238
248 24.75 0.7 0.434855 0.282523 1.21196 0.609874 -1.87613 0.2665
249 24.85 0.7 0.514466 0.998485 0.66624 2.67087 -1.14768 0.562968
250 24.95 0.8 0.76776 0.351869 0.92252 1.70099 -0.822133 0.544565
251 25.05 0.5 0.453524 0.295892 0.577692 -0.230999 -0.738681 0.333197
252 25.15 0.8 0.572184 0.435564 0.287308 -0.666747 -0.868398 0.211519
253 25.25 0.3 0.301096 0.085573 0.0518658 -2.20019 -1.1884 -0.201199
254 25.35 0.5 0.0489572 0.543207 0.731503 -1.81769 -1.18038 -0.566652
255 25.45 0.7 0.746146 0.78923 0.309558 -0.832646 -0.937337 -0.499558
256 25.55 0.5 0.371334 0.132462 0.460482 -0.979086 -1.84566 -0.421272
257 25.65 0.9 1.15069 0.421933 0.698005 -0.174573 -0.79265 0.137501
258 25.75 0.5 0.311054 1.31534 0.16592 1.3482 -0.246714 -0.024091
259 25.85 0.5 0.309236 0.711868 0.821778 -0.855181 -0.728917 -0.130623
260 25.95 0.4 0.393111 0.0203934 0.211759 -0.727617 -1.20803 -0.22211
261 26.05 0.4 0.125884 0.0893336 0.799768 -1.01938 -0.748626 -0.450588
262 26.15 0.4 0.183512 0.448831 0.360735 -1.0143 -0.867761 -0.638672
263 26.25 0.4 0.189759 0.207773 0.125969 -1.29069 -1.0756 -0.653621
264 26.35 0.6 0.700074 0.589321 0.544728 -0.566802 -1.2851 -0.461829
265 26.45 0.5 0.0208314 0.57817 0.716382 -1.04581 -0.84479 -0.440738
266 26.55 0.4 0.989372 0.365865 0.0675187 -1.18294 -0.812825 -0.293679
267 26.65 0.3 0.0618274 0.33259 0.43601 -0.694426 -0.574716 -0.157115
268 26.75 0.4 0.118131 0.705588 0.112068 -0.555756 -0.755728 0.165294
269 26.85 0.2 0.0246179 0.232578 0.467382 -0.194182 -0.523572 0.172541
270 26.95 0 0 0 0 -0.116143 -0.475142 0.182506
271 27.05 0 0 0 0 -0.116322 -0.475322 0.182424
272 27.15 0.1 0.121022 0.0396995 0.330065 -0.201976 -0.562748 0.179116
273 27.25 0.2 0.132315 0.144668 0.308828 -0.0295671 -0.425595 0.18851
274 27.35 0.3 0.314818 0.0281369 0.142471 -0.0267884 -0.210082 0.12707
275 27.45 0.1 0.0359416 0.000822197 0.0555943 -0.0415979 -0.0488524 0.202904
276 27.55 0.1 0.0279366 0.0862337 0.0338217 0.562039 -0.181497 0.0368537
277 27.65 0.3 0.115044 0.0947283 0.343338 1.08889 0.111743 -0.138883
278 27.75 0 0 0 0 -0.0402518 -0.0376736 -0.0891622
279 27.85 0.1 0.0850145 0.230572 0.0290923 -0.0388428 -0.0363738 -0.0866402
280 27.95 0 0 0 0 -0.0136459 -0.0117724 -0.0416389
281 28.05 0 0 0 0 -0.0136429 -0.0117695 -0.0416653
282 28.15 0 0 0 0 -0.0136544 -0.0117809 -0.0416681
283 28.25 0 0 0 0 -0.0136183 -0.0117449 -0.0416401
284 28.35 0 0 0 0 -0.0136651 -0.0117916 -0.0416918
285 28.45 0 0 0 0 -0.0136078 -0.0117343 -0.0416128
286 28.55 0 0 0 0 -0.0136716 -0.0117981 -0.0417329
287 28.65 0.2 0.0330124 0.0395949 0.802214 0.884885 0.182936 -0.00350704
288 28.75 0.1 0.0829409 0.000934341 0.0539489 1.28453 0.272665 0.0436198
289 28.85 0.1 0.0282559 0.00959816 0.000780088 0.26324 0.0553132 0.00271901
290 28.95 0 0 0 0 -0.00150942 -0.000712168 -0.00686849
291 29.05 0 0 0 0 -0.00148834 -0.000691093 -0.00684172
292 29.15 0 0 0 0 -0.00151752 -0.000720269 -0.00688523
293 29.25 0 0 0 0 -0.00148844 -0.000691193 -0.00683576
294 29.35 0 0 0 0 -0.00151489 -0.00071764 -0.00688666
295 29.45 0 0 0 0 -0.00149174 -0.000694493 -0.00683649
296 29.55 0 0 0 0 -0.00151136 -0.000714107 -0.00688393
297 29.65 0 0 0 0 -0.00149554 -0.000698295 -0.0068417
298 29.75 0 0 0 0 -0.00150811 -0.00071086 -0.00687719
299 29.85 0 0 0 0 -0.00149929 -0.000702044 -0.0068479
300 29.95 0 0 0 0 -0.00150535 -0.000708096 -0.00687232
301 30.05 0 0 0 0 -0.00150337 -0.000706126 -0.00685286
302 30.15 0 0 0 0 -0.00150322 -0.000705974 -0.00686517
303 30.25 0 0 0 0 -0.00151451 -0.00071726 -0.0068643
304 30.35 0.1 0.245132 0.00752421 0.0577571 -0.0138904 -0.0155121 -0.0110151
305 30.45 0 0 0 0 -0.0171756 -0.019578 -0.0116933
306 30.55 0 0 0 0 -0.0171777 -0.0195801 -0.0117497
307 30.65 0.1 0.0233427 0.0189672 0.0174039 -0.017402 -0.0234983 -0.0147802
308 30.75 0 0 0 0 -0.0156032 -0.0362919 -0.0247418
309 30.85 0 0 0 0 -0.0155878 -0.0362765 -0.0247562
310 30.95 0.1 0.011673 0.16317 0.0115929 -0.0163367 -0.0368698 -0.0251685
311 31.05 0.1 0.253962 0.0868164 0.000180079 -0.00886097 -0.023709 -0.0181903
312 31.15 0 0 0 0 -0.00598498 -0.0191125 -0.0154585
313 31.25 0 0 0 0 -0.00598407 -0.0191116 -0.0154554
314 31.35 0 0 0 0 -0.00598168 -0.0191092 -0.0154663
315 31.45 0.1 0.244844 0.00714418 0.111945 0.0322831 0.0150746 -0.00749184
316 31.55 0 0 0 0 0.0607833 0.0406317 -0.00133636
317 31.65 0.1 0.00309366 0.000176882 0.0449419 -0.00146365 -0.0254911 -0.0100296
318 31.75 0 0 0 0 -0.0127345 -0.0375057 -0.0115611
319 31.85 0 0 0 0 -0.0127654 -0.0375367 -0.011584
320 31.95 0 0 0 0 -0.0127508 -0.037522 -0.0115669
321 32.05 0 0 0 0 -0.0127479 -0.0375191 -0.0115818
322 32.15 0.1 0.00114839 0.238391 0.000356434 -0.00991134 -0.0280191 -0.00881016
323 32.25 0 0 0 0 -0.000272944 -0.000272944 -0.000439167
324 32.35 0 0 0 0 -0.000257339 -0.000257339 -0.000435997
325 32.45 0 0 0 0 -0.00025988 -0.00025988 -0.000440355
326 32.55 0 0 0 0 -0.000280704 -0.000280704 -0.000435457
327 32.65 0.1 0.000813066 0.117291 0.280502 -0.034811 -0.0027625 -0.00714949
328 32.75 0 0 0 0 -0.0359927 -0.00236359 -0.00702266
329 32.85 0 0 0 0 -0.0360074 -0.0023783 -0.00702996
330 32.95 0 0 0 0 -0.0360005 -0.00237142 -0.00702115
331 33.05 0 0 0 0 -0.035988 -0.00235887 -0.00703263
332 33.15 0.1 0.246927 0.432216 0.0040082 -0.0160209 -0.00162063 -0.00386608
333 33.25 0 0 0 0 -0.00120772 -0.000280762 -0.000605632
334 33.35 0 0 0 0 -0.00120784 -0.000280882 -0.000604591
335 33.45 0 0 0 0 -0.00120709 -0.00028013 -0.000608798
336 33.55 0.1 0.0728104 0.0305728 0.00327176 -0.00154371 -0.000700914 -0.00109298
337 33.65 0 0 0 0 -0.000417076 -0.000248385 -0.000737388
338 33.75 0 0 0 0 -0.000394777 -0.000226085 -0.000734091
339 33.85 0 0 0 0 -0.000399833 -0.000231142 -0.000737317
340 33.95 0 0 0 0 -0.000396143 -0.000227451 -0.000734151
341 34.05 0 0 0 0 -0.000398365 -0.000229674 -0.000737066
342 34.15 0 0 0 0 -0.000397223 -0.000228531 -0.000734192
343 34.25 0 0 0 0 -0.000397425 -0.000228734 -0.000737194
